['2020-01-21', 'death', 32]
['2020-01-21', 'coronavirus', 441]
['2020-01-21', 'confirmed', 164]
['2020-01-21', 'cases', 140]
['2020-01-21', 'world', 78]
['2020-01-21', 'health', 236]
['2020-01-21', 'public', 44]
['2020-01-21', 'international', 59]
['2020-01-21', 'china', 377]
['2020-01-21', 'spread', 180]
['2020-01-21', 'chinese', 164]
['2020-01-21', 'including', 37]
['2020-01-21', 'central', 57]
['2020-01-21', 'first', 124]
['2020-01-21', 'patients', 32]
['2020-01-21', 'reported', 96]
['2020-01-21', 'medical', 57]
['2020-01-21', 'officials', 95]
['2020-01-21', 'wuhan', 246]
['2020-01-21', 'people', 204]
['2020-01-21', 'deaths', 18]
['2020-01-21', 'disease', 96]
['2020-01-21', 'severe', 24]
['2020-01-21', 'travel', 75]
['2020-01-21', 'authorities', 73]
['2020-01-21', 'novel', 29]
['2020-01-21', 'control', 59]
['2020-01-21', 'state', 55]
['2020-01-21', 'symptoms', 60]
['2020-01-21', 'reuters', 15]
['2020-01-21', 'united', 47]
['2020-01-21', 'states', 41]
['2020-01-21', 'infected', 92]
['2020-01-21', 'according', 37]
['2020-01-21', 'minister', 8]
['2020-01-21', 'measures', 29]
['2020-01-21', 'countries', 48]
['2020-01-21', 'number', 41]
['2020-01-21', 'hospital', 28]
['2020-01-21', 'where', 44]
['2020-01-21', 'three', 42]
['2020-01-21', 'epidemic', 9]
['2020-01-21', 'deadly', 58]
['2020-01-21', 'tested', 15]
['2020-01-21', 'country', 49]
['2020-01-21', 'being', 40]
['2020-01-21', 'markets', 32]
['2020-01-21', 'government', 33]
['2020-01-21', 'person', 52]
['2020-01-21', 'ministry', 11]
['2020-01-21', 'positive', 6]
['2020-01-22', 'spread', 161]
['2020-01-22', 'wuhan', 340]
['2020-01-22', 'coronavirus', 624]
['2020-01-22', 'china', 457]
['2020-01-22', 'global', 57]
['2020-01-22', 'epidemic', 21]
['2020-01-22', 'outbreak', 255]
['2020-01-22', 'people', 231]
['2020-01-22', 'health', 344]
['2020-01-22', 'measures', 46]
['2020-01-22', 'disease', 106]
['2020-01-22', 'including', 68]
['2020-01-22', 'central', 64]
['2020-01-22', 'markets', 34]
['2020-01-22', 'world', 91]
['2020-01-22', 'chinese', 189]
['2020-01-22', 'novel', 52]
['2020-01-22', 'deadly', 80]
['2020-01-22', 'according', 48]
['2020-01-22', 'medical', 60]
['2020-01-22', 'first', 136]
['2020-01-22', 'control', 51]
['2020-01-22', 'where', 73]
['2020-01-22', 'officials', 110]
['2020-01-22', 'international', 95]
['2020-01-22', 'virus', 387]
['2020-01-22', 'travel', 102]
['2020-01-22', 'government', 38]
['2020-01-22', 'country', 40]
['2020-01-22', 'symptoms', 60]
['2020-01-22', 'death', 55]
['2020-01-22', 'authorities', 90]
['2020-01-22', 'three', 26]
['2020-01-22', 'number', 49]
['2020-01-22', 'cases', 212]
['2020-01-22', 'infected', 82]
['2020-01-22', 'person', 27]
['2020-01-22', 'being', 61]
['2020-01-22', 'countries', 52]
['2020-01-22', 'public', 76]
['2020-01-22', 'reported', 94]
['2020-01-22', 'ministry', 33]
['2020-01-22', 'reuters', 32]
['2020-01-22', 'severe', 44]
['2020-01-22', 'confirmed', 195]
['2020-01-22', 'state', 51]
['2020-01-22', 'states', 66]
['2020-01-22', 'deaths', 45]
['2020-01-22', 'united', 71]
['2020-01-22', 'tested', 12]
['2020-01-22', 'positive', 10]
['2020-01-22', 'minister', 31]
['2020-01-22', 'february', 4]
['2020-01-22', 'hospital', 22]
['2020-01-22', 'patients', 35]
['2020-01-23', 'spread', 220]
['2020-01-23', 'deadly', 136]
['2020-01-23', 'virus', 418]
['2020-01-23', 'china', 551]
['2020-01-23', 'reported', 115]
['2020-01-23', 'cases', 258]
['2020-01-23', 'people', 460]
['2020-01-23', 'travel', 140]
['2020-01-23', 'health', 465]
['2020-01-23', 'authorities', 124]
['2020-01-23', 'world', 139]
['2020-01-23', 'coronavirus', 835]
['2020-01-23', 'outbreak', 336]
['2020-01-23', 'global', 85]
['2020-01-23', 'officials', 142]
['2020-01-23', 'measures', 62]
['2020-01-23', 'disease', 120]
['2020-01-23', 'control', 44]
['2020-01-23', 'public', 162]
['2020-01-23', 'including', 84]
['2020-01-23', 'death', 25]
['2020-01-23', 'country', 68]
['2020-01-23', 'wuhan', 511]
['2020-01-23', 'infected', 177]
['2020-01-23', 'confirmed', 161]
['2020-01-23', 'countries', 61]
['2020-01-23', 'being', 126]
['2020-01-23', 'tested', 71]
['2020-01-23', 'chinese', 306]
['2020-01-23', 'state', 79]
['2020-01-23', 'deaths', 40]
['2020-01-23', 'united', 50]
['2020-01-23', 'states', 49]
['2020-01-23', 'patients', 79]
